[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[08:06:32 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x79da66f08895bd2b2492bb24a01c24764ccea1d134d86ec81b021d22049733d1
[08:06:49 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x569e009d4c9c6064d92607977167499962e3b7dbbe16c3a459f2fe30d9438550
[08:09:54 | 15-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[08:10:04 | 15-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:14:53 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xefd1313c12f027bd1a3820784fd2e11982948193b632b99705028a6838e56bcc
[09:15:01 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xe5db421c48fa2b6e5079d050b360ac042c955c7107af999d60bcd338168f3682
[09:18:04 | 16-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:18:07 | 16-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:12:09 | 17-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xaa2c196f0d9fdfa1ba24cd1b3b74af8e25a967e0976d4bcaf631132b842669e1
[09:12:24 | 17-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6c1d357ac30b365b15247d144db69938efa9ab4d09fbb27f363e1981e3c2729e
